dataset,trial,rs_idi,ga_idi,delta,winner
adult,1,0.289,0.925,0.6360000000000001,GA
adult,2,0.278,0.917,0.639,GA
adult,3,0.274,0.915,0.641,GA
adult,4,0.261,0.918,0.657,GA
adult,5,0.28,0.92,0.64,GA
adult,6,0.239,0.905,0.666,GA
adult,7,0.292,0.882,0.5900000000000001,GA
adult,8,0.27,0.913,0.643,GA
adult,9,0.282,0.893,0.611,GA
adult,10,0.262,0.901,0.639,GA
compas,1,0.186,0.791,0.605,GA
compas,2,0.173,0.734,0.5609999999999999,GA
compas,3,0.186,0.755,0.569,GA
compas,4,0.179,0.804,0.625,GA
compas,5,0.179,0.72,0.5409999999999999,GA
compas,6,0.192,0.785,0.593,GA
compas,7,0.2,0.69,0.48999999999999994,GA
compas,8,0.166,0.739,0.573,GA
compas,9,0.173,0.723,0.55,GA
compas,10,0.153,0.724,0.571,GA
german,1,0.966,1.0,0.03400000000000003,GA
german,2,0.955,1.0,0.04500000000000004,GA
german,3,0.95,0.998,0.04800000000000004,GA
german,4,0.959,0.999,0.040000000000000036,GA
german,5,0.968,1.0,0.03200000000000003,GA
german,6,0.956,0.998,0.04200000000000004,GA
german,7,0.952,0.995,0.04300000000000004,GA
german,8,0.95,0.999,0.049000000000000044,GA
german,9,0.967,0.999,0.03200000000000003,GA
german,10,0.948,0.999,0.051000000000000045,GA
credit,1,0.118,0.687,0.5690000000000001,GA
credit,2,0.12,0.784,0.664,GA
credit,3,0.129,0.817,0.688,GA
credit,4,0.121,0.664,0.543,GA
credit,5,0.106,0.686,0.5800000000000001,GA
credit,6,0.105,0.811,0.7060000000000001,GA
credit,7,0.085,0.661,0.5760000000000001,GA
credit,8,0.109,0.748,0.639,GA
credit,9,0.101,0.721,0.62,GA
credit,10,0.12,0.725,0.605,GA
law_school,1,0.241,0.875,0.634,GA
law_school,2,0.215,0.777,0.562,GA
law_school,3,0.233,0.858,0.625,GA
law_school,4,0.237,0.887,0.65,GA
law_school,5,0.24,0.848,0.608,GA
law_school,6,0.239,0.858,0.619,GA
law_school,7,0.246,0.845,0.599,GA
law_school,8,0.242,0.891,0.649,GA
law_school,9,0.221,0.789,0.5680000000000001,GA
law_school,10,0.219,0.822,0.603,GA
communities_crime,1,0.058,0.302,0.244,GA
communities_crime,2,0.041,0.492,0.451,GA
communities_crime,3,0.056,0.273,0.21700000000000003,GA
communities_crime,4,0.052,0.43,0.378,GA
communities_crime,5,0.04,0.394,0.35400000000000004,GA
communities_crime,6,0.033,0.446,0.41300000000000003,GA
communities_crime,7,0.039,0.328,0.28900000000000003,GA
communities_crime,8,0.046,0.364,0.318,GA
communities_crime,9,0.033,0.338,0.30500000000000005,GA
communities_crime,10,0.05,0.24,0.19,GA
dutch,1,0.475,0.949,0.474,GA
dutch,2,0.51,0.951,0.44099999999999995,GA
dutch,3,0.501,0.97,0.469,GA
dutch,4,0.491,0.962,0.471,GA
dutch,5,0.514,0.941,0.42699999999999994,GA
dutch,6,0.511,0.96,0.44899999999999995,GA
dutch,7,0.529,0.97,0.44099999999999995,GA
dutch,8,0.525,0.951,0.42599999999999993,GA
dutch,9,0.512,0.937,0.42500000000000004,GA
dutch,10,0.544,0.944,0.3999999999999999,GA
kdd,1,0.023,0.644,0.621,GA
kdd,2,0.015,0.623,0.608,GA
kdd,3,0.012,0.672,0.66,GA
kdd,4,0.019,0.607,0.588,GA
kdd,5,0.022,0.648,0.626,GA
kdd,6,0.022,0.605,0.583,GA
kdd,7,0.02,0.589,0.569,GA
kdd,8,0.023,0.617,0.594,GA
kdd,9,0.019,0.606,0.587,GA
kdd,10,0.014,0.685,0.671,GA
